iterations,H0_prob,True_prob,alternative_hip_side,p_threshold_to_try,SESOI,minimum_effect_threshold_Bayes_Par_Est_to_try,robustness_test_with,Inference_threshold_BF_high,y_and_N_prior_to_try,min_trial_n,max_trial_n,times_to_stop,Inference_threshold_robustness_NHST,Inference_threshold_robustness_Bayes_Par_Est,SD_personal_differences,Supported_H1_BF,Supported_H0_BF,Inconclusive_BF,Mode_num_trials_true_BF,Stopped_at_min_trial_n_BF,Stopped_at_max_trial_n_BF,Stopped_75percent_of_studies_at_or_before_this_n,Robust
5000,0.5,0.45,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0,1,0,37836,1,0,37836,1
5000,0.5,0.48,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0,1,0,37836,1,0,37836,1
5000,0.5,0.49,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0,1,0,37836,1,0,37836,0.9998
5000,0.5,0.495,"greater",0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0,1,0,37836,0.9972,0,37836,0.9936
5000,0.5,0.498,"greater",0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0,0.9988,0.0012,37836,0.9336,0.0028,37836,0.927
5000,0.5,0.499,"greater",0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0,0.9932,0.0068,37836,0.8768,0.0114,37836,0.8898
10000,0.5,0.5,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0,0.9624,0.0376,37836,0.7816,0.0506,37836,0.8133
5000,0.5,0.501,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0.001,0.8786,0.1204,37836,0.6508,0.1416,62388,0.7178
5000,0.5,0.502,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0.0094,0.7004,0.2902,37836,0.4946,0.3112,136080,0.5484
5000,0.5,0.503,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0.0394,0.492,0.4686,136080,0.3562,0.489,136080,0.3548
5000,0.5,0.504,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0.154,0.3024,0.5436,136080,0.2334,0.5968,136080,0.2064
5000,0.5,0.505,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0.3902,0.1478,0.462,136080,0.1454,0.584,136080,0.108
5000,0.5,0.506,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0.6534,0.0682,0.2784,136080,0.1152,0.4176,136080,0.0976
5000,0.5,0.507,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0.8786,0.0256,0.0958,86958,0.1408,0.21,111528,0.1718
5000,0.5,0.508,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0.967,0.0092,0.0238,62388,0.2268,0.0812,86958,0.3062
5000,0.5,0.509,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0.9938,0.003,0.0032,62388,0.3578,0.0186,86958,0.4884
10000,0.5,0.51,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0.9985,9.00E-04,6.00E-04,37836,0.4944,0.0042,62388,0.6561
5000,0.5,0.511,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,0.9998,2.00E-04,0,37836,0.6434,8.00E-04,62388,0.8006
5000,0.5,0.512,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,1,0,0,37836,0.7854,0,37836,0.901
5000,0.5,0.515,greater,0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,1,0,0,37836,0.9746,0,37836,0.9872
5000,0.5,0.52,"greater",0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,1,0,0,37836,1,0,37836,1
5000,0.5,0.53,"greater",0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,1,0,0,37836,1,0,37836,1
5000,0.5,0.56,"greater",0.005,0.01,0.006,"NHST_probtest, Bayes_Par_Est",25,"828, 1560",37836,136080,5,0.005,0.05,0,1,0,0,37836,1,0,37836,1
