Correct guess chance in the population,stopped at minimum sample size,stopped at maximum sample size,mode of final sample size,probability of stopping at 30060,probability of stopping at 37836,probability of stopping at 45612,probability of stopping at 53406,probability of stopping at 61182,probability of stopping at 68958,probability of stopping at 76734,probability of stopping at 84528,probability of stopping at 92304,probability of stopping at 100080
45.0%,1.000,0.000,30060,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48.0%,1.000,0.000,30060,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49.0%,1.000,0.000,30060,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49.5%,0.992,0.000,30060,0.992,0.006,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000
49.8%,0.915,0.003,30060,0.915,0.041,0.018,0.009,0.006,0.004,0.002,0.002,0.001,0.003
49.9%,0.843,0.015,30060,0.843,0.060,0.031,0.018,0.011,0.008,0.006,0.004,0.003,0.015
50.0%,0.752,0.048,30060,0.752,0.073,0.042,0.027,0.020,0.014,0.011,0.009,0.006,0.048
50.1%,0.627,0.129,30060,0.627,0.083,0.049,0.033,0.025,0.019,0.015,0.012,0.008,0.129
50.2%,0.495,0.265,30060,0.495,0.077,0.047,0.032,0.027,0.020,0.016,0.013,0.008,0.265
50.3%,0.360,0.421,100080,0.360,0.071,0.043,0.029,0.023,0.018,0.014,0.012,0.009,0.421
50.4%,0.245,0.551,100080,0.245,0.056,0.036,0.026,0.022,0.018,0.016,0.015,0.014,0.551
50.5%,0.161,0.574,100080,0.161,0.047,0.037,0.034,0.032,0.029,0.030,0.030,0.026,0.574
50.6%,0.114,0.479,100080,0.114,0.048,0.050,0.054,0.055,0.054,0.052,0.049,0.046,0.479
50.7%,0.107,0.312,100080,0.107,0.072,0.079,0.085,0.084,0.078,0.070,0.061,0.053,0.312
50.8%,0.146,0.153,100080,0.146,0.110,0.117,0.116,0.101,0.086,0.069,0.056,0.046,0.153
50.9%,0.221,0.054,30060,0.221,0.153,0.150,0.130,0.100,0.077,0.052,0.038,0.026,0.054
51.0%,0.335,0.015,30060,0.335,0.187,0.159,0.115,0.079,0.050,0.031,0.017,0.010,0.015
51.1%,0.464,0.002,30060,0.464,0.203,0.144,0.089,0.050,0.025,0.013,0.006,0.003,0.002
51.2%,0.595,0.000,30060,0.595,0.198,0.110,0.054,0.025,0.011,0.004,0.002,0.001,0.000
51.5%,0.899,0.000,30060,0.899,0.076,0.019,0.004,0.001,0.000,0.000,0.000,0.000,0.000
52.0%,0.999,0.000,30060,0.999,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53.0%,1.000,0.000,30060,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56.0%,1.000,0.000,30060,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sampled from prior distribution,0.947,0.011,30060,0.947,0.016,0.009,0.006,0.004,0.003,0.002,0.002,0.001,0.011
